reportDate,strategy_return,equal_weight_return,strategy_cumulative_return,equal_weight_cumulative_return
2007/10/19,0.00152934,-9.52E-05,1.046042582,1.136205312
2007/10/22,-0.010911023,-0.009341657,1.034629187,1.125591272
2007/10/23,0.01034169,0.010159993,1.045329001,1.137027272
2007/10/24,-0.005375105,-0.004252874,1.039710248,1.132191638
2007/10/25,0.013317083,0.013912779,1.053556156,1.14794357
2007/10/26,0.002719989,0.014209718,1.056421816,1.164255524
2007/10/29,0.006296227,0.005011737,1.063073287,1.170090467
2007/10/30,-4.99E-06,0.009449194,1.063067979,1.181146879
2007/10/31,0.007624637,0.001938742,1.071173486,1.183436818
2007/11/01,-0.016545894,-0.014033166,1.053449963,1.166829453
2007/11/02,-0.010518999,-0.001200295,1.042368725,1.165428913
2007/11/05,0.002798653,0.00374538,1.045285953,1.169793886
2007/11/06,0.015210759,0.011799909,1.061185545,1.183597348
2007/11/07,0.008703305,0.002578409,1.070421366,1.186649146
2007/11/08,0.007339499,0.001246454,1.078277722,1.188128249
2007/11/09,0.004456968,0.000959324,1.083083571,1.189268049
2007/11/12,-0.002312129,-0.005346966,1.080579342,1.182909074
2007/11/13,-0.003636334,-0.006362338,1.076649995,1.175383006
2007/11/14,0.005336361,0.006717191,1.082395388,1.183278277
2007/11/15,-0.012455094,-0.008860542,1.068914052,1.17279379
2007/11/16,-0.009333778,-0.008337833,1.058937045,1.163015232
2007/11/19,-0.018288341,-0.022801065,1.039570843,1.136497246
2007/11/20,0.011348121,0.010133156,1.051368018,1.148013551
2007/11/21,-0.006880706,-0.010709424,1.044133864,1.135718986
2007/11/22,0.005707326,0.002550842,1.050093076,1.138616026
2007/11/23,0.001585729,-0.00032647,1.051758239,1.138244302
2007/11/26,0.006030438,-0.006056132,1.058100801,1.131350945
2007/11/27,-0.000346271,-0.005773575,1.057734411,1.124819005
2007/11/28,-0.001901607,-0.001584699,1.055723016,1.123036506
2007/11/29,0.009836857,0.014638226,1.066108012,1.139475768
2007/11/30,0.0158841,0.002060341,1.083042178,1.141823476
2007/12/03,-0.006034144,-0.003896996,1.076506945,1.137373795
2007/12/04,-0.001722875,-0.002717442,1.074652258,1.134283048
2007/12/05,0.00033977,0.00434456,1.075017393,1.13921101
