reportDate,ang:sj,apn:sj,ari:sj,avi:sj,baw:sj,bid:sj,bvt:sj,cls:sj,cpi:sj,dcp:sj,drd:sj,dsy:sj,exx:sj,fsr:sj,gfi:sj,grt:sj,imp:sj,mrp:sj,mtm:sj,mtn:sj,ned:sj,npn:sj,ny1:sj,omu:sj,out:sj,pph:sj,rdf:sj,rem:sj,sbk:sj,shp:sj,snt:sj,sol:sj,ssw:sj,tbs:sj
31/08/2012,8.3926,28.1339,11.8822,18.1262,10.978,,4.0871,47.7406,14.6515,,17.8411,15.6974,8.2126,13.9075,15.9929,735.1107,24.3178,19.2761,14.4676,15.0466,12.6383,21.3307,,24.0199,7.391,,23.0709,6.4265,14.3764,34.6867,17.3017,9.3982,,13.5424
30/09/2012,9.6394,28.1339,11.8822,18.1262,8.2592,,4.0871,47.7406,14.6515,,9.7888,15.6974,8.2126,13.9075,17.2204,735.1107,24.3178,27.0646,14.4676,15.0466,12.6383,26.4009,,24.0199,7.391,,23.0709,6.4265,14.3764,34.6867,17.3017,9.3982,,13.5424
31/12/2012,9.6394,34.3031,11.5303,17.2045,8.2592,,4.6101,47.7406,14.6515,,9.7888,19.9955,9.2962,11.9468,17.2204,735.1107,37.3518,27.0646,11.4218,16.4944,10.88,26.4009,,8.382,8.3976,,23.0709,9.9784,11.5211,29.6196,20.0708,12.0819,1.743,13.5424
28/02/2013,9.6394,34.3031,11.5303,17.2045,8.2592,,4.6101,26.1406,12.8073,,9.7888,19.9955,9.2962,11.9468,17.2204,735.1107,37.3518,27.0646,11.4218,16.4944,10.88,26.4009,,8.382,8.3976,,30.6197,9.9784,11.5211,29.6196,20.0708,12.0819,1.743,13.5424
31/03/2013,14.968,34.3031,11.5303,17.2045,7.004,,4.6101,26.1406,12.8073,,5.9666,19.9955,9.2962,11.9468,13.8279,735.1107,37.3518,27.0646,11.4218,16.4944,10.88,26.4009,,8.382,8.3976,,30.6197,9.9784,11.5211,29.6196,20.0708,12.0819,1.743,16.0185
30/06/2013,14.968,34.8115,25.0898,16.1717,7.004,,4.789,26.1406,12.8073,,5.9666,22.9896,12.5604,13.1988,13.8279,735.1107,73.5642,27.0646,15.2304,17.5014,12.361,26.4009,,7.5413,9.8564,,30.6197,18.6359,12.1901,24.3922,21.0292,12.0423,10.8973,16.0185
31/08/2013,14.968,34.8115,25.0898,16.1717,7.004,,4.789,21.1975,12.4192,,5.9666,22.9896,12.5604,13.1988,13.8279,735.1107,73.5642,27.0646,15.2304,17.5014,12.361,26.4009,,7.5413,9.8564,,10.4219,18.6359,12.1901,24.3922,21.0292,12.0423,10.8973,16.0185
30/09/2013,14.968,34.8115,25.0898,16.1717,9.409,,4.789,21.1975,12.4192,,5.9666,22.9896,12.5604,13.1988,13.8279,735.1107,73.5642,25.8977,15.2304,17.5014,12.361,51.7242,,7.5413,9.8564,,10.4219,18.6359,12.1901,24.3922,21.0292,12.0423,10.8973,16.0185
31/12/2013,14.968,36.1816,20.9741,14.5531,9.409,,4.6395,21.1975,12.4192,,5.9666,21.7537,7.9113,13.3971,13.8279,21.4321,60.0466,25.8977,14.0731,15.4263,12.3489,51.7242,,7.8326,9.8496,,10.4219,13.6936,13.365,22.1294,18.8281,14.5193,12.09,16.0185
28/02/2014,14.968,36.1816,20.9741,14.5531,9.409,,4.6395,20.4159,12.6982,,5.9666,21.7537,7.9113,13.3971,13.8279,21.4321,60.0466,25.8977,14.0731,15.4263,12.3489,51.7242,,7.8326,9.8496,,7.5596,13.6936,13.365,22.1294,18.8281,14.5193,12.09,16.0185
31/03/2014,14.968,36.1816,20.9741,14.5531,9.2952,,4.6395,20.4159,12.6982,,5.9666,21.7537,7.9113,13.3971,13.8279,21.4321,60.0466,25.542,14.0731,15.4263,12.3489,51.7242,,7.8326,9.8496,,7.5596,13.6936,13.365,22.1294,18.8281,14.5193,12.09,25.054
30/06/2014,14.968,37.0033,7.8792,17.5133,9.2952,,5.6656,20.4159,12.6982,,5.9666,19.8789,66.2603,14.893,13.8279,9.7483,6221.6749,25.542,14.823,14.9216,12.5061,51.7242,,9.8133,10.8054,,7.5596,13.6983,12.6097,24.1308,14.2912,8.9509,8.9269,25.054
31/08/2014,14.968,37.0033,7.8792,17.5133,9.2952,,5.6656,23.3154,17.613,,5.9666,19.8789,66.2603,14.893,13.8279,9.7483,6221.6749,25.542,14.823,14.9216,12.5061,51.7242,,9.8133,10.8054,,7.5596,13.6983,12.6097,24.1308,14.2912,8.9509,8.9269,25.054
30/09/2014,14.968,37.0033,7.8792,17.5133,8.2366,,5.6656,23.3154,17.613,,5.9666,19.8789,66.2603,14.893,13.8279,9.7483,6221.6749,30.3698,14.823,14.9216,12.5061,32.328,,9.8133,10.8054,,7.5596,13.6983,12.6097,24.1308,14.2912,8.9509,8.9269,25.054
31/12/2014,14.968,29.6696,7.596,19.3967,8.2366,,5.733,23.3154,17.613,,5.9666,15.1077,66.2603,14.4761,13.8279,9.3603,6221.6749,30.3698,17.3801,13.13,11.807,32.328,,7.8709,10.4595,,7.5596,13.0337,11.793,23.894,14.7516,7.6334,10.9471,25.054
28/02/2015,14.968,29.6696,7.596,19.3967,8.2366,,5.733,24.5015,21.8291,,5.9666,15.1077,66.2603,14.4761,13.8279,9.3603,6221.6749,30.3698,17.3801,13.13,11.807,32.328,,7.8709,10.4595,,10.4605,13.0337,11.793,23.894,14.7516,7.6334,10.9471,25.054
31/03/2015,14.968,29.6696,7.596,19.3967,7.729,,5.733,24.5015,21.8291,,221.3813,15.1077,66.2603,14.4761,13.8279,9.3603,6221.6749,29.0609,17.3801,13.13,11.807,32.328,,7.8709,10.4595,,10.4605,13.0337,11.793,23.894,14.7516,7.6334,10.9471,14.4983
30/06/2015,14.968,27.1587,93.7352,17.7104,7.729,,9.2188,24.5015,21.8291,,16.0054,14.6671,4.6877,10.6458,13.8279,7.9392,6221.6749,29.0609,12.1816,7.9786,8.6328,32.328,,7.6682,9.7644,,10.4605,10.4525,8.0136,18.6694,12.3244,8.6791,17.4757,14.4983
31/08/2015,14.968,27.1587,93.7352,17.7104,7.729,,9.2188,23.3387,21.7742,,16.0054,14.6671,4.6877,10.6458,13.8279,7.9392,6221.6749,29.0609,12.1816,7.9786,8.6328,32.328,,7.6682,9.7644,,10.4605,10.4525,8.0136,18.6694,12.3244,8.6791,17.4757,14.4983
30/09/2015,14.968,27.1587,93.7352,17.7104,5.3306,,9.2188,23.3387,21.7742,,16.0054,14.6671,4.6877,10.6458,13.8279,7.9392,6221.6749,21.7679,12.1816,7.9786,8.6328,36.5933,,7.6682,9.7644,,10.4605,10.4525,8.0136,18.6694,12.3244,8.6791,17.4757,14.4983
31/12/2015,240.6046,27.2921,93.7352,17.7642,5.3306,,26.216,23.3387,21.7742,,40.2605,20.4531,33.9572,11.2942,13.8279,9.6906,6221.6749,21.7679,11.7281,12.9293,8.3998,36.5933,,8.3816,11.3755,,10.4605,12.2207,9.7988,20.6146,10.4171,13.8647,64.304,14.4983
29/02/2016,240.6046,27.2921,93.7352,17.7642,5.3306,,26.216,30.0392,21.3007,13.0684,40.2605,20.4531,33.9572,11.2942,13.8279,9.6906,6221.6749,21.7679,11.7281,12.9293,8.3998,36.5933,,8.3816,11.3755,,10.6805,12.2207,9.7988,20.6146,10.4171,13.8647,64.304,14.4983
31/03/2016,240.6046,27.2921,93.7352,17.7642,6.1711,,26.216,30.0392,21.3007,13.0684,40.2605,20.4531,33.9572,11.2942,13.8279,9.6906,6221.6749,21.7679,11.7281,12.9293,8.3998,36.5933,,8.3816,11.3755,,10.6805,12.2207,9.7988,20.6146,10.4171,13.8647,64.304,16.7916
30/06/2016,45.1689,30.1043,11.8758,18.8646,6.1711,6.2169,26.243,30.0392,21.3007,13.0684,50.4562,20.1307,33.9343,12.946,13.8279,13.6504,6221.6749,21.7679,17.3493,81.8903,10.6339,36.5933,,7.5615,10.9928,,10.6805,15.7045,11.3052,19.0228,12.443,18.42,26.9332,16.7916
31/08/2016,45.1689,30.1043,11.8758,18.8646,6.1711,6.2169,26.243,26.4527,22.8765,13.0684,50.4562,20.1307,33.9343,12.946,13.8279,13.6504,6221.6749,21.7679,17.3493,81.8903,10.6339,36.5933,,7.5615,10.9928,,11.106,15.7045,11.3052,19.0228,12.443,18.42,26.9332,16.7916
